volume,vwap,open,close,high,low,timestamp,trades
75645.0,255.5717,255.56,255.59,255.65,255.51,2025-10-01 14:45:00,1294
87413.0,255.7414,255.6,255.9,255.945,255.565,2025-10-01 14:46:00,1500
69741.0,255.7787,255.89,255.8201,255.8974,255.6986,2025-10-01 14:47:00,1210
60654.0,255.7558,255.84,255.67,255.8626,255.661,2025-10-01 14:48:00,1051
46086.0,255.6879,255.66,255.81,255.82,255.59,2025-10-01 14:49:00,984
69034.0,255.6794,255.81,255.63,255.81,255.6,2025-10-01 14:50:00,1144
68036.0,255.6527,255.64,255.745,255.78,255.53,2025-10-01 14:51:00,1178
44792.0,255.7351,255.75,255.725,255.8,255.68,2025-10-01 14:52:00,834
55216.0,255.7067,255.73,255.69,255.7695,255.65,2025-10-01 14:53:00,1021
80295.0,255.8189,255.69,255.8,255.93,255.69,2025-10-01 14:54:00,1213
57648.0,255.8643,255.8,255.86,255.9437,255.8,2025-10-01 14:55:00,1120
76293.0,255.7219,255.87,255.727,255.87,255.66,2025-10-01 14:56:00,1086
40640.0,255.7396,255.727,255.725,255.82,255.7,2025-10-01 14:57:00,820
69389.0,255.6857,255.725,255.68,255.755,255.581,2025-10-01 14:58:00,1278
63150.0,255.5782,255.675,255.53,255.69,255.51,2025-10-01 14:59:00,1060
84561.0,255.5397,255.53,255.55,255.61,255.49,2025-10-01 15:00:00,1279
65764.0,255.5708,255.54,255.585,255.64,255.53,2025-10-01 15:01:00,1200
63771.0,255.573,255.5824,255.58,255.619,255.525,2025-10-01 15:02:00,1008
96701.0,255.5127,255.6,255.43,255.62,255.41,2025-10-01 15:03:00,1468
88884.0,255.4894,255.43,255.4549,255.58,255.38,2025-10-01 15:04:00,1268
81894.0,255.4158,255.46,255.3112,255.4699,255.3,2025-10-01 15:05:00,1152
105058.0,255.3901,255.3399,255.425,255.46,255.3101,2025-10-01 15:06:00,1624
104741.0,255.4696,255.4293,255.525,255.5796,255.37,2025-10-01 15:07:00,1610
135947.0,255.4238,255.525,255.445,255.62,255.31,2025-10-01 15:08:00,2042
60167.0,255.4261,255.44,255.3866,255.48,255.365,2025-10-01 15:09:00,1043
48381.0,255.3644,255.375,255.33,255.42,255.3,2025-10-01 15:10:00,907
81775.0,255.3748,255.32,255.35,255.4937,255.3,2025-10-01 15:11:00,1253
77019.0,255.3076,255.345,255.325,255.43,255.2,2025-10-01 15:12:00,1346
64848.0,255.4778,255.35,255.6,255.6353,255.3212,2025-10-01 15:13:00,1198
79343.0,255.5557,255.58,255.55,255.625,255.48,2025-10-01 15:14:00,1081
99687.0,255.4026,255.5384,255.34,255.58,255.31,2025-10-01 15:15:00,1388
53723.0,255.3078,255.34,255.27,255.41,255.22,2025-10-01 15:16:00,1320
59479.0,255.3544,255.28,255.39,255.41,255.28,2025-10-01 15:17:00,1105
72943.0,255.415,255.39,255.37,255.465,255.37,2025-10-01 15:18:00,1257
48458.0,255.4262,255.37,255.42,255.505,255.364,2025-10-01 15:19:00,922
